id,name,schools_count
relation/10091503,Bahalda,77
relation/10091504,Tiring,159
relation/10091539,Badampahar,106
relation/10091540,Rairangpur,136
relation/10091541,Rairangpur Town,65
relation/10091542,Jamda,80
relation/10091640,Ghagarbeda,58
relation/10091641,Raruan,142
relation/10091642,Jashipur,218
relation/10091643,Gorumahisani,103
relation/10091644,Bisoi,142
relation/10091699,Thakurmunda,93
relation/10091700,Karanjia,190
relation/10092482,Baisinga,175
relation/10092483,Rasagobindapur,153
relation/10092484,Betanati,121
relation/10092485,Barsahi,220
relation/10092486,Khunta,234
relation/10092487,Muruda,151
relation/10092488,Suliapada,150
relation/10092489,Chandua,101
relation/10092490,Koliana,124
relation/10092491,Bangiriposi,201
relation/10092492,Jharpokharia,184
relation/10092493,Baripada (M),27
relation/10092494,Baripada Town,37
relation/10092495,Baripada Sadar,155
relation/10092496,Udala,186
relation/10092497,Kaptipada,145
relation/10092498,Sharata,147
relation/10092499,Mahuldiha,75
relation/10093118,Raibania,82
relation/10093130,Jaleswar,145
relation/10093221,Basta,181
relation/10093222,Rupsa,22
relation/10093223,Singla,168
relation/10093224,Baliapal,183
relation/10093225,Bhograi,208
relation/10093226,Kamarda,131
relation/10093627,Remuna,87
relation/10093628,Bampada,18
relation/10093629,Sahadevkhunta,5
relation/10093630,Chandipur,21
relation/10093631,Baleshwar (M),56
relation/10093632,Baleshwar Sadar,192
relation/10093633,Balaramgadi Marine,5
relation/10093725,Similia,194
relation/10093726,Khaira,195
relation/10093727,Oupada,58
relation/10093728,Berhampur,86
relation/10093729,Soro,386
relation/10093730,Nilagiri,151
relation/10095628,Joda,64
relation/10095629,Barbil,48
relation/10095630,Rugudi,15
relation/10095631,Bolani,15
relation/10095669,Champua,145
relation/10095791,Nayakote,67
relation/10095792,Bamebari,77
relation/10095924,Baria,124
relation/10095925,Jhumpura,72
relation/10096359,Turumunga,126
relation/10096360,Kanjipani,40
relation/10096361,Kendujhar Town,70
relation/10096363,Kendujhar Sadar,266
relation/10096420,Patana,190
relation/10097234,Telkoi,183
relation/10097235,Pandapara,89
relation/10097236,Ghatgaon,160
relation/10097307,Nandipada,131
relation/10097308,Soso,96
relation/10097309,Anandapur,165
relation/10097310,Ghasipura,154
relation/10097311,Daitari,35
relation/10097312,Harichandanpur,123
relation/10098001,Dhamara Marine,7
relation/10098002,Bansada,138
relation/10098003,Chandabali,141
relation/10098004,Tihidi,231
relation/10098005,Naikanidihi,127
relation/10098006,Basudebpur,183
relation/10098007,Dhusuri,151
relation/10098008,Dhamanagar,129
relation/10098009,Bhandari Pokhari,164
relation/10098010,Bhadrak Rural,371
relation/10098011,Bant,91
relation/10098012,Agarpada,74
relation/10098511,Bari - Ramachandrapur,154
relation/10098512,Binjharpur,261
relation/10098513,Mangalpur,210
relation/10098514,Jajapur,152
relation/10098515,Jajpur Sadar,150
relation/10098516,Balichandrapur,124
relation/10098517,Badachana,157
relation/10098518,Dharmasala,176
relation/10098519,Kuakhia,119
relation/10098520,Panikoili,75
relation/10098521,Korai,147
relation/10098522,Jajapur Road,92
relation/10098523,Jenapur,111
relation/10098524,Jakhapura,19
relation/10098525,Kalinganagar,64
relation/10098526,Sukinda,91
relation/10098527,Tomka,62
